m-M,redshift
29.13,0.000804
27.83,0.001358
31.02,0.00149
27.46,0.00183
31.16,0.002128
30.04,0.002425
31.84,0.0025
32.01,0.002843
29.76,0.002992
30.76,0.00316
32.15,0.003395
30.35,0.00354
31.97,0.003699
31.72,0.003746
31.49,0.003889
31.01,0.0039
29.06,0.004
31.08,0.00413
31.29,0.00424
31.39,0.004266
31.72,0.00435
31.09,0.00449
31.61,0.00475
31.92,0.00488
32.33,0.005027
31.58,0.00514
30.34,0.00524
32.58,0.00529
31.34,0.005464
32.12,0.00551
30.92,0.005688
30.78,0.005791
31.01,0.005871
35.25,0.006004
31.1,0.006031
31.62,0.006211
31.41,0.00626
32.23,0.00633
32.1,0.00638
31.63,0.006461
34.72,0.0065
31.88,0.00656
31.99,0.006616
31.65,0.00681
31.36,0.00689
31.59,0.00694
31.82,0.007125
32.96,0.007235
32.49,0.007318
31.98,0.00758
30.12,0.00761
32.38,0.00768
31.85,0.0077
31.66,0.007899
32.37,0.00793
31.89,0.00831
32.23,0.008526
32.72,0.00857
33.48,0.008606
32.35,0.0087
31.97,0.00897
32.34,0.009006
32.96,0.00937
32.08,0.009393
32.41,0.00941
32.54,0.00948
32.45,0.0095
32.36,0.01
32.98,0.0101
32.55,0.01012
33.3,0.0103
32.67,0.010344
33.21,0.01036
32.85,0.0104
32.99,0.010404
33.1,0.01043
33.27,0.0105
32.18,0.01057
33.45,0.0106
33.31,0.0108
33.25,0.010847
33.51,0.01087
33.39,0.0109
32.63,0.0111
32.25,0.0113
33.89,0.0114
33.12,0.01141
32.93,0.01158
32.68,0.011639
34.15,0.012122
33.95,0.012272
34.09,0.0123
34,0.012402
33.89,0.0125
33.64,0.0126
33.71,0.01269
34.07,0.012879
33.59,0.01289
33.56,0.0129
33.66,0.01292
32.59,0.01299
33.69,0.012993
32.95,0.013012
32.52,0.013206
32.64,0.01322
34.03,0.01329
33.62,0.0133
33.48,0.0135
33.19,0.013539
33.21,0.01354
33.57,0.01359
33.84,0.0137
33.53,0.01372
33.88,0.0138
33.36,0.01388
33.85,0.013896
33.87,0.0139
33.1,0.014
34.1,0.01401
