sn_name,gal_mag,redshift

-----------------------------------,---------,-----------

1006A

1054A

1572A

1604A

1885A,4.28,-0.001031

1895A,12.376,0.001458

1895B,10.81,0.001364

1901A,13.276,0.01367

1901B,9.902,0.005263

1907A,14.005,0.004681

1909A,8.38,0.000796

1912A,10.03,0.00212

1914A,9.902,0.005263

1915A,11.486,0.005797

1917A,9.76,0.000133

1919A,9.527,0.004197

1920A,12.966,0.007184

1921A,11.155,0.005397

1921B,10.404,0.001979

1921C,10.404,0.001979

1923A,7.797,0.00169

1926A,10.15,0.005225

1926B,12.099,0.007911

1934A,13.727,0.010614

1935A,14.343,0.013482

1935C,11.886,0.004505

1936A,12.26,0.007924

1936B,15.632,0.0171

1937A,12.087,0.002561

1937C,12.404,0.001048

1937B,14.68,0.031465

1937D,12.031,0.002086

1937E,13.105,0.006212

1937F,10.404,0.001979

1938B,12.641,0.013976

1938C

1938A,14.218,0.016414

1939A,10.414,0.00332

1939B,10.655,0.001467

1939C,9.76,0.000133

1939D,14.507,0.018877

1940A,11.059,0.002223

1940C,14.718,0.0296

1940B,9.903,0.004024

1940D,12.733,0.00913

1940E,7.931,0.000831

1941A,10.268,0.002717

1941B,12.302,0.004496

1941C,11.986,0.002022

1945A,10.49,0.001561

1945B,7.797,0.00169

1946A,14.373,0.01937

1946B,12.229,0.005726

1947A,12.983,0.004417

1948A,10.395,0.004659

1948B,9.76,0.000133

1950F,14.793,0.00411

1950G,17.5

1950B,7.797,0.00169

1950H,13.851,0.015898

1950M,13.204,0.00539

1950A,14.232,0.016489

1950D,17

1950O

1950I,15.71,0.0205

1950J,17.4

1950K,16.9

1950C,10.699,0.002915

1950L,16.645,0.040481

1950N,16.75

1951C,17.8

1951B,15.153,0.038393

1951D,18.5

1951E,18.4

1951F,14.725,0.021837

1951G,16.38,0.084204

1951A,15.6,0.057032

1951J,15.72

1951H,8.38,0.000796

1952F,18.5

1952B,16

1952C,18.1

1952D,16.7

1952G,12.237,0.005289

1952E,18

1952H,15.502,0.034593

1952A,13.505,0.018484

1953G,16

1953D,12.687,0.011742

1953H,19.5

1953A,14.7,0.029363

1953K,14.027,0.007601

1953B,14.514,0.033849

1953C,14.645,0.016565

1953I,15.065,0.013532

1953L,15.239,0.023469

1953F,13.937,0.016605

1953E,15.531,0.01792

1953J,17.78,0.015564

1954I,17.5

1954L,15.494,0.035654

1954Z,13.488,0.018292

1954G,17.5

1954Y,14.341,0.018461

1954X,16.7

1954aa,13.083,0.003921

1954ab,18.9

1954A,10.177,0.000972

1954B,12.237,0.005289

1954O,16.8

1954W,15.267,0.005158

1954H,14.835,0.022325

1954P,19.2

1954Q,20

1954N,16

1954M,17.7

1954T,16.75,0.042973

1954F,15.645,0.038902

1954U,18.7

1954V,19

1954R,11.72,0.005452

1954S,18.5,0.056872

1954E,13.016,0.016313

1954C,12.129,0.002566

1954D,15.59,0.021151

1954ac,14.343,0.015916

1954K,16

