# Spec No	Date (DD/MM/YYYY)	Time (hh:mm:ss)	Fractional day	Fractional time	Latitude	Longitude	Elev. viewing angle	Azim. viewing angle	NO2.RMS	NO2.SlCol(no2)	NO2.SlErr(no2)	NO2.SlCol(o3)	NO2.SlErr(o3)	NO2.SlCol(o4)	NO2.SlErr(o4)	NO2.SlCol(h2o)	NO2.SlErr(h2o)	NO2.SlCol(ring)	NO2.SlErr(ring)	NO2.Shift(Spectrum)	NO2.Stretch(Spectrum)1	NO2.Stretch(Spectrum)2	Fluxes 500
1	18/03/2019	09:25:02	77.392396	9.4175	44	28	3	185	0.00090179	3.0804E+016	634700000000000	-2.2552E+018	6.5866E+017	1.1842E+043	3.5783E+041	4.9267E+022	8.4942E+021	0.0026736	0.00089269	0.094802	-0.00010156	0	3531.283
2	18/03/2019	09:25:45	77.392882	9.42916666666667	44	28	6	185	0.00080428	6.5456E+016	566080000000000	7.6895E+017	5.8745E+017	3.2409E+043	3.1914E+041	1.881E+023	7.5757E+021	0.0046571	0.00079617	0.071386	-0.00016803	0	11901.36
3	18/03/2019	09:26:27	77.393368	9.44083333333333	44	28	12	185	0.018119	4.7917E+016	1.2752E+016	8.0141E+019	1.3234E+019	1.5864E+043	7.1894E+042	-7.3293E+023	1.7066E+023	-0.49026	0.017936	0.067066	-0.00091433	0	14595.03
4	18/03/2019	09:30:20	77.396065	9.50555555555556	44	28	3	185	0.0014543	2.9069E+016	1.0236E+015	-3.0754E+017	1.0622E+018	8.1589E+042	5.7706E+041	8.4748E+022	1.3698E+022	0.0037385	0.0014396	0.081845	-0.0001208	0	1660.889
5	18/03/2019	09:31:00	77.396539	9.51694444444444	44	28	6	185	0.00063228	5.9436E+016	445020000000000	9.6508E+017	4.6182E+017	3.2033E+043	2.5089E+041	1.9127E+023	5.9556E+021	0.0032221	0.0006259	0.056219	-0.00017595	0	6050.136
6	18/03/2019	09:31:43	77.397025	9.52861111111111	44	28	12	185	0.00063283	3.461E+016	445400000000000	9.2755E+017	4.6222E+017	2.7996E+043	2.511E+041	1.528E+023	5.9608E+021	-0.00010576	0.00062644	0.055067	-0.00014106	0	8099.745
7	18/03/2019	09:32:25	77.397512	9.54027777777778	44	28	18	185	0.00059501	2.0665E+016	418790000000000	8.4172E+017	4.3459E+017	1.8925E+043	2.361E+041	1.0652E+023	5.6046E+021	-0.00084717	0.00058901	0.05308	-0.00013552	0	6970.952
8	18/03/2019	09:33:09	77.398032	9.55277777777778	44	28	30	185	0.00055938	1.3414E+016	393710000000000	-2105600000000000	4.0857E+017	9.3228E+042	2.2196E+041	6.5095E+022	5.2689E+021	0.0045958	0.00055374	0.051491	-0.00013074	0	5997.916
9	18/03/2019	09:33:55	77.398553	9.56527777777778	44	28	48	185	0.00052718	9.7383E+015	371050000000000	-2.0919E+017	3.8505E+017	2.7433E+042	2.0919E+041	3.9384E+022	4.9657E+021	0.0079127	0.00052187	0.050161	-0.00012787	0	5273.35
10	18/03/2019	09:34:39	77.399074	9.57777777777778	44	28	60	185	0.00048993	8404700000000000	344820000000000	-4.1032E+017	3.5784E+017	1.8707E+042	1.944E+041	3.1038E+022	4.6147E+021	0.008539	0.00048498	0.047867	-0.00012586	0	4788.301
