# Spec No	Fractional day	Fractional time	Scans	Tint	UAV servo sent position byte	Date (DD/MM/YYYY)	Time (hh:mm:ss)	Inside temperature	Outside temperature	Total Experiment Time (sec)	Total Acquisition Time (sec)	NO2.RMS	NO2.SlCol(NO2)	NO2.SlErr(NO2)	NO2.SlCol(H2O)	NO2.SlErr(H2O)	NO2.SlCol(O3)	NO2.SlErr(O3)	NO2.SlCol(O4)	NO2.SlErr(O4)	NO2.SlCol(pola)	NO2.SlErr(pola)	NO2.SlCol(ring)	NO2.SlErr(ring)	Fluxes 500
1	77.406961	9.76705263888889	1	0.06	25	18/03/2019	09:46:01	0	0	32	30	0.00047638	3327700000000000	306920000000000	-6.6057E+021	1.3601E+021	3.6119E+018	2.7893E+017	1.4666E+042	1.5766E+041	0.0051805	0.0005929	-0.0030191	0.00040602	733.9143
2	77.407754	9.78609041666667	1	0.06	25	18/03/2019	09:47:09	0	0	31	30	0.00052494	2632600000000000	338210000000000	-4.1107E+021	1.4987E+021	3.5777E+018	3.0737E+017	1.9064E+042	1.7374E+041	0.0050447	0.00065334	-0.00080416	0.00044741	763.1287
3	77.408566	9.80559041666667	1	0.03	28	18/03/2019	09:48:20	0	0	33	30	0.00032783	3313900000000000	211220000000000	-6.2196E+021	9.3597E+020	3.6097E+018	1.9195E+017	2.1345E+042	1.085E+041	0.0067145	0.00040802	-0.0085922	0.00027942	369.172
4	77.408943	9.81463291666667	1	0.03	34	18/03/2019	09:48:52	0	0	32	30	0.00033013	3514300000000000	212700000000000	-2.7984E+021	9.4253E+020	4.8644E+018	1.933E+017	3.2455E+042	1.0926E+041	-0.0055986	0.00041088	-0.0067684	0.00028137	419.9012
5	77.40932	9.82367513888889	1	0.03	40	18/03/2019	09:49:25	0	0	33	30	0.00030298	4.1565E+015	195210000000000	2.9633E+021	8.6502E+020	3.6385E+018	1.774E+017	4.1859E+042	1.0027E+041	0.0024949	0.00037709	-0.0097057	0.00025823	432.5036
6	77.409697	9.83271736111111	1	0.03	46	18/03/2019	09:49:57	0	0	33	30	0.00034787	6430200000000000	224130000000000	4.5674E+021	9.9317E+020	7.1617E+018	2.0369E+017	7.729E+042	1.1513E+041	0.0015966	0.00043296	-0.011954	0.00029649	443.8363
7	77.410073	9.84175958333333	1	0.03	52	18/03/2019	09:50:30	0	0	32	30	0.00050435	8910299999999999	324950000000000	2.3297E+022	1.4399E+021	5.0299E+018	2.9531E+017	1.1694E+043	1.6692E+041	0.0028871	0.00062771	-0.011441	0.00042986	476.2748
8	77.41045	9.85080180555556	1	0.03	58	18/03/2019	09:51:02	0	0	33	30	0.00077262	1.2091E+016	497790000000000	4.6887E+022	2.2058E+021	4.965E+018	4.5239E+017	1.6665E+043	2.5571E+041	0.005586	0.00096159	-0.012408	0.00065851	511.9886
9	77.410827	9.85984402777778	1	0.03	64	18/03/2019	09:51:35	0	0	32	30	0.0010693	1.9851E+016	688950000000000	8.1511E+022	3.0529E+021	4.5097E+018	6.2611E+017	2.4123E+043	3.539E+041	0.0051584	0.0013309	-0.01082	0.00091139	609.077
10	77.411204	9.86890069444445	1	0.03	70	18/03/2019	09:52:08	0	0	33	30	0.0011584	4.4958E+016	746370000000000	1.4949E+023	3.3073E+021	5.4214E+018	6.7829E+017	3.3871E+043	3.834E+041	2.8211E-05	0.0014418	-0.0058094	0.00098734	673.1034
11	77.411582	9.87795736111111	1	0.03	76	18/03/2019	09:52:40	0	0	32	30	0.0029969	1.2071E+016	1930900000000000	5.8126E+022	8.5561E+021	4.2361E+018	1.7547E+018	1.1259E+043	9.9185E+041	-0.042253	0.0037299	-0.00033163	0.0025543	152.8456
12	77.411958	9.88699958333333	1	0.03	82	18/03/2019	09:53:13	0	0	33	30	0.0069509	1.2024E+016	4.4784E+015	-3.2137E+021	1.9845E+022	1.1202E+019	4.0699E+018	2.3609E+043	2.3005E+042	-0.064159	0.0086511	-0.088908	0.0059243	60.29886
13	77.412335	9.89604180555555	1	0.03	28	18/03/2019	09:53:45	0	0	33	30	0.00038343	2965600000000000	247040000000000	-1.2476E+022	1.0947E+021	4.0331E+018	2.2451E+017	2.7237E+042	1.269E+041	0.0093131	0.00047721	-0.008328	0.0003268	392.9036
14	77.412712	9.90508402777778	1	0.03	34	18/03/2019	09:54:18	0	0	32	30	0.00032092	3793800000000000	206760000000000	-5.2009E+021	9.1622E+020	3.54E+018	1.8791E+017	3.2109E+042	1.0621E+041	0.0076001	0.00039941	-0.0089301	0.00027352	444.8416
15	77.413089	9.91412625	1	0.03	40	18/03/2019	09:54:50	0	0	33	30	0.00039901	4775300000000000	257080000000000	-4.5879E+020	1.1392E+021	8.3959E+018	2.3363E+017	6.0007E+042	1.3206E+041	-0.00069218	0.00049661	-0.0094059	0.00034008	460.9933
16	77.413465	9.92316847222222	1	0.03	46	18/03/2019	09:55:23	0	0	32	30	0.0003329	5998400000000000	214490000000000	4.6132E+021	9.5044E+020	4.5488E+018	1.9492E+017	5.8374E+042	1.1018E+041	0.0041462	0.00041433	-0.0081248	0.00028374	517.1183
17	77.413842	9.93221069444444	1	0.03	52	18/03/2019	09:55:55	0	0	33	30	0.00037137	7649100000000000	239270000000000	2.224E+022	1.0603E+021	4.9783E+018	2.1744E+017	1.0177E+043	1.2291E+041	0.0046329	0.0004622	-0.0095776	0.00031652	505.3016
18	77.414219	9.94125291666667	1	0.03	58	18/03/2019	09:56:28	0	0	32	30	0.00070685	1.2172E+016	455420000000000	4.2351E+022	2.0181E+021	4.6391E+018	4.1388E+017	1.5378E+043	2.3394E+041	0.0055469	0.00087975	-0.010727	0.00060246	563.0191
19	77.414596	9.950295	1	0.03	64	18/03/2019	09:57:01	0	0	33	30	0.00098404	1.8238E+016	634010000000000	7.8164E+022	2.8095E+021	4.8655E+018	5.7618E+017	2.3538E+043	3.2568E+041	0.0047937	0.0012247	-0.010083	0.00083871	614.9754
20	77.414972	9.95933736111111	1	0.03	70	18/03/2019	09:57:33	0	0	32	30	0.001041	4.0782E+016	670730000000000	1.3532E+023	2.9722E+021	5.5076E+018	6.0955E+017	3.0434E+043	3.4454E+041	-0.00081249	0.0012957	-0.0046053	0.00088729	721.2754
21	77.415349	9.96837958333333	1	0.03	76	18/03/2019	09:58:06	0	0	33	30	0.0028443	1.1748E+016	1832600000000000	5.4681E+022	8.1206E+021	3.611E+018	1.6654E+018	1.0147E+043	9.4136E+041	-0.033318	0.00354	0.0028019	0.0024242	159.907
22	77.415726	9.97742180555555	1	0.03	82	18/03/2019	09:58:38	0	0	32	30	0.0070121	1.1553E+016	4517800000000000	6.1105E+021	2.002E+022	1.1262E+019	4.1057E+018	2.2587E+043	2.3207E+042	-0.058955	0.0087272	-0.084807	0.0059764	63.12554
23	77.416103	9.98646402777778	1	0.03	28	18/03/2019	09:59:11	0	0	33	30	0.00033968	1669500000000000	218850000000000	-9.4248E+021	9.698E+020	1.442E+018	1.9889E+017	1.8067E+042	1.1242E+041	0.0083569	0.00042277	-0.0080921	0.00028952	411.7518
24	77.416479	9.99550625	1	0.03	34	18/03/2019	09:59:43	0	0	33	30	0.00043966	3379500000000000	283270000000000	-1.2343E+022	1.2552E+021	6.0595E+018	2.5743E+017	1.2206E+042	1.4551E+041	0.0022688	0.0005472	-0.005209	0.00037473	522.869
25	77.416856	10.0045484722222	1	0.03	40	18/03/2019	10:00:16	0	0	32	30	0.00034827	2399800000000000	224390000000000	8.1613E+021	9.9433E+020	6.4598E+018	2.0392E+017	3.9871E+042	1.1526E+041	-0.0024869	0.00043346	-0.0072307	0.00029684	487.2217
