date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-03-01,5.1,2.5,7.2,0.1,,37,5.7,,1014,
2014-03-02,5.9,4.7,7.9,6.8,,55,16.5,,1006.3,
2014-03-03,5.3,4.2,6.4,6.3,,60,14.3,,1003.7,
2014-03-04,4.8,4.1,5.5,3.6,,61,17,,1004.5,
2014-03-05,6.2,5,6.8,1.5,,60,17,,1009.5,
2014-03-06,6.9,5.9,8.4,10.3,,54,19.8,,1016,
2014-03-07,7.3,6.3,8.6,2.9,,57,15.2,,1024.1,
2014-03-08,5.5,4.5,7.1,7.2,,32,10.5,,1025.6,
2014-03-09,5.9,1.4,9.8,0,,47,9.6,,1027.7,
2014-03-10,6.8,5.1,9.1,0,,46,20.4,,1025.6,
2014-03-11,7.3,2.4,11.2,0,,333,8.9,,1021.8,
2014-03-12,8.5,-2.6,16.6,0,,27,7.3,,1024.7,
2014-03-13,8.7,-4.3,14.7,0,,297,7.8,,1028.2,
2014-03-14,10.7,-2,18.4,0,,243,8.7,,1023.7,
2014-03-15,12.9,2.4,19.2,0,,242,12.9,,1011.7,
2014-03-16,11.2,4.3,16,0,,264,17,,1005.1,
2014-03-17,13.1,6,21.2,0,,239,12.9,,1009.9,
2014-03-18,14.4,4.6,20.1,0,,244,8.1,,1015.3,
2014-03-19,14.2,1.7,23.8,0,,259,10,,,
2014-03-20,13.1,4.1,18.1,0,,243,11.3,,1022.7,
2014-03-21,12.9,0,21.4,0,,,5,,1025.5,
2014-03-22,12.7,1,24,0,,84,5,,1017.3,
2014-03-23,13.1,2.2,23,0,,68,5,,1011.4,
2014-03-24,14.7,6.4,22,0,,68,8.4,,,
2014-03-25,11.5,8,18.2,0.8,,241,11.1,,1005.8,
2014-03-26,10.2,-0.5,17,0,,123,7.5,,1013.2,
2014-03-27,10.9,3.9,17.6,0,,76,9.8,,1016,
2014-03-28,10.2,6.6,14.6,1.6,,56,10.1,,1013.2,
2014-03-29,10.7,4.6,16.3,0,,35,10.2,,1018.9,
2014-03-30,8.6,-4.3,14.7,0,,,,,,
2014-03-31,13.1,-1.3,20,0,,,4.1,,1012.8,
2014-04-01,14.8,4.6,22,0,,240,5.4,,1008.4,
2014-04-02,9.4,6.3,16,0,,70,14.6,,1016.5,
2014-04-03,9.6,4.9,14.9,0,,80,7.1,,1017.5,
2014-04-04,15.3,4.5,23.3,0,,,6.6,,1011,
2014-04-05,9.2,5.3,14.7,0,,55,21.9,,1015.4,
2014-04-06,6.3,3.7,7.9,2.2,,45,15,,1021.7,
2014-04-07,12.1,2.1,18.3,0,,286,5.9,,1018.1,
2014-04-08,14.2,2.3,21.1,0.2,,252,7.5,,1017.5,
2014-04-09,16.6,6.4,25.9,0,,243,11.3,,1010.9,
2014-04-10,7.9,6.4,17.6,27.4,,314,6.5,,1012.8,
2014-04-11,8.5,6.3,10.5,2.8,,253,4.8,,1014,
2014-04-12,8.3,6,11.6,16.2,,65,6.3,,1016,
2014-04-13,10.2,4.8,15,0,,330,6.6,,1016.6,
2014-04-14,13.5,3.1,19.4,0,,231,9.2,,1013.6,
2014-04-15,12.2,7.9,17,0.8,,218,10.1,,1009.1,
2014-04-16,7.1,5.5,10.4,20.2,,55,15.3,,1013.1,
2014-04-17,11.3,7.3,14.2,0.2,,57,21.2,,1013.2,
2014-04-18,12.3,11,13.9,20.8,,64,15.9,,1005.6,
2014-04-19,11.5,8.6,17.5,18,,108,14,,1006.5,
2014-04-20,13,5.1,19.3,0,,,3.6,,1012.4,
2014-04-21,15.1,3.9,21.5,0,,,5.1,,1013.6,
2014-04-22,15.6,9.7,20.9,0.2,,59,5.7,,1013.4,
2014-04-23,18.4,7.8,25.3,0,,9,3.9,,1016.4,
2014-04-24,14.1,12.9,18.6,6,,59,12,,1014.5,
2014-04-25,14.2,11.3,18.1,0,,49,14.6,,1014.4,
2014-04-26,13.8,10.8,18.8,0,,60,11.6,,1015.4,
