date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-03-01,4.8,3,7,,,,7,,,
2014-03-02,5.8,5,8,,,57,27.1,,,
2014-03-03,5.3,4,7,,,65,23.1,,,
2014-03-04,4.7,4,5,,,66,27.2,,,
2014-03-05,6.1,5,7,,,65,26.2,,,
2014-03-06,7,6,8,,,55,32.1,,,
2014-03-07,7.4,7,9,,,62,23.8,,,
2014-03-08,5.5,3,6,,,,15.8,,,
2014-03-09,5.3,1,10,,,,15,,,
2014-03-10,7,5,9,,,47,36.2,,,
2014-03-11,6.7,2,11,,,,11.9,,,
2014-03-12,7.7,-1,16,,,63,11.5,,,
2014-03-13,8,0,15,,,,10.5,,,
2014-03-14,9.4,0,19,,,245,11.8,,,
2014-03-15,11.4,2,19,,,238,19,,,
2014-03-16,11,6,15,,,,22.9,,,
2014-03-17,13,7,21,,,234,17.7,,,
2014-03-18,13.1,6,20,,,,9.3,,,
2014-03-19,12.9,3,23,,,,12.1,,,
2014-03-20,,,,,,,,,,
2014-03-21,12,3,21,,,,6.2,,,
2014-03-22,12.1,3,22,,,,6.7,,,
2014-03-23,12.4,4,23,,,,5.6,,,
2014-03-24,13.8,7,21,,,64,11.5,,,
2014-03-25,11.1,7,14,,,235,13.8,,,
2014-03-26,9.3,2,15,,,,9.6,,,
2014-03-27,10.4,4,17,,,75,13.2,,,
2014-03-28,9.9,7,14,,,,15,,,
2014-03-29,9.8,2,16,,,,13,,,
2014-03-30,,,,,,,,,,
2014-03-31,11,2,20,,,,6.5,,,
2014-04-01,14,7,22,,,,7.7,,,
2014-04-02,9.5,6,13,,,74,17.1,,,
2014-04-03,9,5,14,,,,8.6,,,
2014-04-04,13.8,6,23,,,,7.7,,,
2014-04-05,10.1,5,14,,,59,39.1,,,
2014-04-06,5.8,4,8,,,50,26.4,,,
2014-04-07,11.1,3,18,,,,8.1,,,
2014-04-08,,,,,,,,,,
2014-04-09,15.8,7,24,,,247,15.8,,,
2014-04-10,8.3,7,13,,,,9.1,,,
2014-04-11,8.3,7,10,,,,6.5,,,
2014-04-12,7.9,6,11,,,,8,,,
2014-04-13,9.2,6,14,,,,8.8,,,
2014-04-14,12,4,20,,,220,11.9,,,
2014-04-15,12.3,7,17,,,,13.5,,,
2014-04-16,7,6,8,,,59,24.5,,,
2014-04-17,10.8,8,14,,,61,37.6,,,
2014-04-18,12.6,11,15,,,66,27.1,,,
2014-04-19,11.4,9,16,,,113,18.3,,,
2014-04-20,12.3,7,19,,,,4.7,,,
2014-04-21,14.3,7,21,,,,6.2,,,
2014-04-22,14.9,9,20,,,,8.2,,,
2014-04-23,17.2,10,25,,,,5,,,
2014-04-24,14.5,12,17,,,62,20.7,,,
2014-04-25,14,11,18,,,51,25.9,,,
2014-04-26,13.8,8,18,,,67,18,,,
2014-04-27,11.8,6,17,,,,13.8,,,
2014-04-28,,,,,,,,,,
2014-04-29,14.8,10,20,,,,6.4,,,
2014-04-30,13.5,10,17,,,,8.6,,,
2014-05-01,14.9,7,21,,,,4,,,
2014-05-02,15.4,8,23,,,,6.2,,,
2014-05-03,16.4,10,22,,,73,13.1,,,
2014-05-04,14.4,12,19,,,77,19.5,,,
2014-05-05,,,,,,,,,,
2014-05-06,,,,,,,,,,
2014-05-07,12.6,5,19,,,,7.6,,,
2014-05-08,12.8,6,20,,,,9.7,,,
2014-05-09,14.2,7,19,,,,7.3,,,
2014-05-10,16.4,12,21,,,,5.5,,,
2014-05-11,17.4,10,23,,,,6.6,,,
2014-05-12,15.8,11,22,,,,12.3,,,
2014-05-13,14.8,8,21,,,,7.6,,,
2014-05-14,12.2,11,15,,,69,27.1,,,
2014-05-15,13.4,10,17,,,,7.7,,,
